Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
SAW-8,SAW,8,77.17590359,-85.93446502,-36.31063437,SEX_YAY,SAW-SEX_SAW-YAY,SAW-SEX-8_SAW-YAY-8,SEX-8_YAY-8,0,outer
WAR-1,WAR,5,24.28645659,118.646189,20.21671563,DUB_GAL_HOW_BOA,DUB-WAR_GAL-WAR_HOW-WAR_BOA-WAR,DUB-WAR-1_GAL-WAR-1_HOW-WAR-1_DUB-WAR-5_HOW-WAR-5_BOA-WAR-5,DUB-1_GAL-1_HOW-1_DUB-5_HOW-5_BOA-5,0,outer
CUP-4,CUP,4,-102.1497724,1.689936983,-56.48926237,GYM_AGE_SIR,CUP-GYM_AGE-CUP_CUP-SIR,CUP-GYM-4_AGE-CUP-9_CUP-SIR-4,GYM-4_AGE-9_SIR-9,0,inner
WAR-5,WAR,5,22.01100359,117.232289,23.27937763,DUB_GAL_HOW_BOA,DUB-WAR_GAL-WAR_HOW-WAR_BOA-WAR,DUB-WAR-1_GAL-WAR-1_HOW-WAR-1_DUB-WAR-5_HOW-WAR-5_BOA-WAR-5,DUB-1_GAL-1_HOW-1_DUB-5_HOW-5_BOA-5,0,outer
SOY-6,SOY,6,-25.26962541,6.414220983,63.01992663,DUH_JUG_MOP,DUH-SOY_JUG-SOY_MOP-SOY,DUH-SOY-6_JUG-SOY-6_MOP-SOY-6,DUH-6_JUG-6_MOP-6,0,inner
AGE-9,AGE,9,-90.54446141,-39.40249202,-41.39540837,CHI_ELK_CUP,AGE-CHI_AGE-ELK_AGE-CUP,AGE-CHI-9_AGE-ELK-9_AGE-CUP-9,CHI-9_ELK-9_CUP-4,0,inner
ART-12,ART,12,-85.24824141,-58.83866602,26.52474063,FIG_ASH_NOR_KIT,ART-FIG_ART-ASH_ART-NOR_ART-KIT,ART-FIG-12_ART-ASH-12_ART-NOR-12_ART-KIT-12,FIG-12_ASH-12_NOR-12_KIT-9,0,outer
ZIG-4,ZIG,4,-112.1824644,49.38235198,-30.73944437,PAW_OAR,PAW-ZIG_OAR-ZIG,PAW-ZIG-4_OAR-ZIG-3,PAW-4_OAR-3,0,outer
GUN-1,GUN,2,80.21752159,86.71068098,-50.51652737,FRO_JOY_WHO_TUB,FRO-GUN_GUN-JOY_GUN-WHO_GUN-TUB,FRO-GUN-1_GUN-JOY-1_GUN-WHO-1_GUN-TUB-2,FRO-1_JOY-1_WHO-1_TUB-2,0,inner
BED-9,BED,9,-95.19832241,-10.08291602,-13.15320537,SAY_CHI_MAD,BED-SAY_BED-CHI_BED-MAD,BED-MAD-12_BED-SAY-4_BED-CHI-9,MAD-12_SAY-4_CHI-9,0,inner
PAY-8,PAY,8,104.2987506,-39.62004702,-34.32920937,ETA_JAR_WHY_WIN,ETA-PAY_JAR-PAY_PAY-WHY_PAY-WIN,ETA-PAY-8_JAR-PAY-8_PAY-WHY-8_PAY-WIN-8,ETA-8_JAR-8_WHY-8_WIN-8,0,outer
LIE-13,LIE,14,23.32732159,-72.88615602,51.24466863,COW_OLD_EVE_LAW,COW-LIE_LIE-OLD_EVE-LIE_LAW-LIE,COW-LIE-11_LIE-OLD-13_LIE-OLD-14_EVE-LIE-14_LAW-LIE-14,COW-11_OLD-13_OLD-14_EVE-14_LAW-14,0,inner
PHI-11,PHI,8,72.03006459,-102.675703,5.518761628,TAR_EAR_WAS_GEL,PHI-TAR_EAR-PHI_PHI-WAS_GEL-PHI,PHI-TAR-11_EAR-PHI-11_PHI-WAS-11_PHI-TAR-8_GEL-PHI-10,TAR-11_EAR-11_WAS-11_TAR-8_GEL-10,0,outer
LIE-11,LIE,14,25.37320059,-71.04085602,52.34109163,COW_OLD_EVE_LAW,COW-LIE_LIE-OLD_EVE-LIE_LAW-LIE,COW-LIE-11_LIE-OLD-13_LIE-OLD-14_EVE-LIE-14_LAW-LIE-14,COW-11_OLD-13_OLD-14_EVE-14_LAW-14,0,inner
HAY-8,HAY,8,78.44892959,-66.37617402,-66.96744137,BAM_WIN_YAY,BAM-HAY_HAY-WIN_HAY-YAY,BAM-HAY-8_HAY-WIN-8_HAY-YAY-8,BAM-8_WIN-8_YAY-8,1,outer
BED-4,BED,9,-96.50953441,-6.208093017,-12.62538737,SAY_CHI_MAD,BED-SAY_BED-CHI_BED-MAD,BED-MAD-12_BED-SAY-4_BED-CHI-9,MAD-12_SAY-4_CHI-9,0,inner
NOR-9,NOR,9,-76.30655541,-91.51014402,2.006007628,KEY_WIG_WOW_ART,KEY-NOR_NOR-WIG_NOR-WOW_ART-NOR,KEY-NOR-12_ART-NOR-12_KEY-NOR-9_NOR-WIG-9_NOR-WOW-9,KEY-12_ART-12_KEY-9_WIG-9_WOW-9,0,inner
GYM-4,GYM,4,-102.0108504,48.01721398,-60.70668137,CUP_VAN_PAW,CUP-GYM_GYM-VAN_GYM-PAW,CUP-GYM-4_GYM-VAN-4_GYM-PAW-4,CUP-4_VAN-4_PAW-4,0,inner
GYM-3,GYM,4,-101.3163384,52.41292698,-61.52199537,CUP_VAN_PAW,CUP-GYM_GYM-VAN_GYM-PAW,CUP-GYM-4_GYM-VAN-4_GYM-PAW-4,CUP-4_VAN-4_PAW-4,0,inner
BOY-2,BOY,2,108.4197686,11.93373498,-68.75523137,BAH_FOX_ORC,BAH-BOY_BOY-FOX_BOY-ORC,BAH-BOY-2_BOY-FOX-2_BOY-ORC-2,BAH-2_FOX-2_ORC-2,0,outer
IVY-7,IVY,7,93.61091659,11.58407098,-12.75042237,FOX_TUX_ACE_LUG,FOX-IVY_IVY-TUX_ACE-IVY_IVY-LUG,FOX-IVY-2_IVY-TUX-2_ACE-IVY-7_IVY-LUG-7,FOX-2_TUX-2_ACE-7_LUG-8,0,inner
RUG-10,RUG,10,-19.93212741,-146.611042,5.949316628,ALL_FOR_SAD,ALL-RUG_FOR-RUG_RUG-SAD,ALL-RUG-10_FOR-RUG-10_RUG-SAD-10,ALL-10_FOR-10_SAD-10,0,inner
SIR-9,SIR,9,-85.17058541,-36.93601502,-81.99597937,ONO_TAT_CUP_FLU_HUG,ONO-SIR_SIR-TAT_CUP-SIR_FLU-SIR_HUG-SIR,ONO-SIR-9_SIR-TAT-9_CUP-SIR-4_FLU-SIR-4_HUG-SIR-4,ONO-9_TAT-9_CUP-4_FLU-4_HUG-4,1,inner
NOM-1,NOM,1,74.50482659,89.93827798,-8.540843372,SPY,NOM-SPY,NOM-SPY-1,SPY-1,0,inner
TAU-14,TAU,6,-21.30092041,-46.13249602,61.36783063,ACT_FOG_LAM,ACT-TAU_FOG-TAU_LAM-TAU,FOG-TAU-14_ACT-TAU-6_FOG-TAU-6_LAM-TAU-12,FOG-14_ACT-6_FOG-6_LAM-12,0,inner
FLU-4,FLU,4,-106.7256264,-7.093324017,-80.89485437,BAR_HUG_SIR,BAR-FLU_FLU-HUG_FLU-SIR,BAR-FLU-4_FLU-HUG-4_FLU-SIR-4,BAR-4_HUG-4_SIR-9,1,outer
FUN-5,FUN,5,-41.77578841,81.21320698,46.46754063,NAY_PLY_REF_FAN,FUN-NAY_FUN-PLY_FUN-REF_FAN-FUN,FUN-NAY-5_FUN-PLY-5_FUN-REF-5_FAN-FUN-6,NAY-5_PLY-5_REF-5_FAN-6,0,outer
TAU-13,TAU,6,-19.31480241,-50.45840702,60.27586463,ACT_FOG_LAM,ACT-TAU_FOG-TAU_LAM-TAU,FOG-TAU-14_ACT-TAU-6_FOG-TAU-6_LAM-TAU-12,FOG-14_ACT-6_FOG-6_LAM-12,0,inner
JAM-13,JAM,13,30.08529959,-105.085851,49.11054163,EAR_ZOO_HOT_MOO,EAR-JAM_JAM-ZOO_HOT-JAM_JAM-MOO,EAR-JAM-11_JAM-ZOO-11_HOT-JAM-13_JAM-MOO-13,EAR-11_ZOO-11_HOT-13_MOO-10,0,outer
LAW-14,LAW,14,10.22523459,-26.85873602,65.73183363,EVE_RIB_LIE,EVE-LAW_LAW-RIB_LAW-LIE,EVE-LAW-14_LAW-RIB-14_LAW-LIE-14,EVE-14_RIB-14_LIE-14,0,inner
AIR-11,AIR,11,71.13112059,-32.43153802,43.73215663,ODD_FAX_FIX,AIR-ODD_AIR-FAX_AIR-FIX,AIR-ODD-11_AIR-FAX-11_AIR-FIX-11,ODD-11_FAX-11_FIX-11,0,outer
WHO-1,WHO,1,56.10229159,110.670883,-84.02869737,FRO_GUN_NIX_OFF,FRO-WHO_GUN-WHO_NIX-WHO_OFF-WHO,FRO-WHO-1_GUN-WHO-1_NIX-WHO-1_OFF-WHO-2,FRO-1_GUN-1_NIX-1_OFF-2,1,inner
JOY-1,JOY,1,84.05906559,108.367809,-32.10448937,BIO_GUN_DIG,BIO-JOY_GUN-JOY_DIG-JOY,BIO-JOY-1_GUN-JOY-1_DIG-JOY-2,BIO-1_GUN-1_DIG-2,0,outer
HAM-6,HAM,6,-78.12024741,6.428795983,43.02018763,GIN_NAN_LAX_ZZZ,GIN-HAM_HAM-NAN_HAM-LAX_HAM-ZZZ,GIN-HAM-6_HAM-NAN-6_HAM-LAX-6_HAM-ZZZ-6,GIN-6_NAN-6_LAX-6_ZZZ-6,0,outer
FIX-7,FIX,7,75.03074659,-4.811578017,22.42784863,MAC_AIR_GAS,FIX-MAC_AIR-FIX_FIX-GAS,FIX-MAC-11_AIR-FIX-11_FIX-GAS-11_FIX-MAC-7,MAC-11_AIR-11_GAS-11_MAC-7,0,inner
TAX-4,TAX,4,-96.35106441,69.70448498,-14.31714737,OAR_GIN_WIZ_VOW,OAR-TAX_GIN-TAX_TAX-WIZ_TAX-VOW,OAR-TAX-3_GIN-TAX-4_TAX-WIZ-4_TAX-VOW-4,OAR-3_GIN-4_WIZ-4_VOW-6,0,inner
TAU-6,TAU,6,-23.40370241,-43.09522102,60.45120163,ACT_FOG_LAM,ACT-TAU_FOG-TAU_LAM-TAU,FOG-TAU-14_ACT-TAU-6_FOG-TAU-6_LAM-TAU-12,FOG-14_ACT-6_FOG-6_LAM-12,0,inner
BAH-8,BAH,8,97.43435759,-18.79178502,-79.21080637,ETA_CIS_BOY_WIN,BAH-ETA_BAH-CIS_BAH-BOY_BAH-WIN,BAH-ETA-2_BAH-CIS-2_BAH-BOY-2_BAH-ETA-8_BAH-WIN-8,ETA-2_CIS-2_BOY-2_ETA-8_WIN-8,0,outer
SPY-1,SPY,1,57.90937859,124.876711,-41.34419237,LEG_NOM_PIE,LEG-SPY_NOM-SPY_PIE-SPY,LEG-SPY-1_NOM-SPY-1_PIE-SPY-1,LEG-1_NOM-1_PIE-1,0,inner
TAX-3,TAX,4,-95.65655241,74.10019898,-15.13246137,OAR_GIN_WIZ_VOW,OAR-TAX_GIN-TAX_TAX-WIZ_TAX-VOW,OAR-TAX-3_GIN-TAX-4_TAX-WIZ-4_TAX-VOW-4,OAR-3_GIN-4_WIZ-4_VOW-6,0,inner
BAH-2,BAH,8,97.16048159,-14.53845802,-78.92810637,ETA_CIS_BOY_WIN,BAH-ETA_BAH-CIS_BAH-BOY_BAH-WIN,BAH-ETA-2_BAH-CIS-2_BAH-BOY-2_BAH-ETA-8_BAH-WIN-8,ETA-2_CIS-2_BOY-2_ETA-8_WIN-8,0,outer
RAD-1,RAD,1,45.56589559,135.015985,-17.33008237,BIO_ELF_GAL_OVA,BIO-RAD_ELF-RAD_GAL-RAD_OVA-RAD,BIO-RAD-1_ELF-RAD-1_GAL-RAD-1_OVA-RAD-1,BIO-1_ELF-1_GAL-1_OVA-1,0,outer
MOM-3,MOM,3,-84.88109141,89.53200898,-64.08417237,GUT_MIX,GUT-MOM_MIX-MOM,GUT-MOM-3_MIX-MOM-3,GUT-3_MIX-3,0,inner
CHI-9,CHI,9,-102.5418844,-38.04451102,-16.48294537,AGE_BED_DOG_KIT,AGE-CHI_BED-CHI_CHI-DOG_CHI-KIT,AGE-CHI-9_BED-CHI-9_CHI-DOG-9_CHI-KIT-9,AGE-9_BED-9_DOG-9_KIT-9,0,outer
BUG-12,BUG,12,-59.09933341,-64.50047202,38.98281863,COY_GOO_FIG,BUG-COY_BUG-GOO_BUG-FIG,BUG-COY-12_BUG-GOO-12_BUG-FIG-12,COY-12_GOO-12_FIG-12,0,inner
LAX-6,LAX,6,-79.20396241,-13.41357102,26.66345463,ACT_HAM_MAD,ACT-LAX_HAM-LAX_LAX-MAD,ACT-LAX-12_LAX-MAD-12_ACT-LAX-6_HAM-LAX-6,ACT-12_MAD-12_ACT-6_HAM-6,0,inner
PRO-13,PRO,13,-20.54790941,-114.716143,50.09094763,GOO_HOT_ALL,GOO-PRO_HOT-PRO_ALL-PRO,GOO-PRO-13_HOT-PRO-13_ALL-PRO-10,GOO-13_HOT-13_ALL-10,0,outer
WHY-8,WHY,8,93.63453159,-61.09995302,-20.31834037,LUG_PAY,LUG-WHY_PAY-WHY,LUG-WHY-8_PAY-WHY-8,LUG-8_PAY-8,0,outer
LIE-14,LIE,14,21.34120359,-68.56024402,52.33663563,COW_OLD_EVE_LAW,COW-LIE_LIE-OLD_EVE-LIE_LAW-LIE,COW-LIE-11_LIE-OLD-13_LIE-OLD-14_EVE-LIE-14_LAW-LIE-14,COW-11_OLD-13_OLD-14_EVE-14_LAW-14,0,inner
TAR-8,TAR,8,71.15719559,-76.11056602,-11.12986337,PHI_WAS,PHI-TAR_TAR-WAS,PHI-TAR-11_TAR-WAS-11_PHI-TAR-8,PHI-11_WAS-11_PHI-8,0,inner
ERA-6,ERA,7,11.63524159,17.70930698,61.21293163,AHI_YES_NIL,AHI-ERA_ERA-YES_ERA-NIL,AHI-ERA-7_ERA-YES-7_ERA-NIL-7,AHI-7_YES-7_NIL-7,0,inner
ERA-7,ERA,7,17.26735359,17.24063198,60.56250663,AHI_YES_NIL,AHI-ERA_ERA-YES_ERA-NIL,AHI-ERA-7_ERA-YES-7_ERA-NIL-7,AHI-7_YES-7_NIL-7,0,inner
TAG-2,TAG,2,101.8871626,36.89463698,-54.28216537,ASK_FOX_SKY,ASK-TAG_FOX-TAG_SKY-TAG,ASK-TAG-2_FOX-TAG-2_SKY-TAG-2,ASK-2_FOX-2_SKY-2,0,inner
TUB-2,TUB,2,107.6198766,63.81006798,-42.85213937,ASK_DIG_GUN,ASK-TUB_DIG-TUB_GUN-TUB,ASK-TUB-2_DIG-TUB-2_GUN-TUB-2,ASK-2_DIG-2_GUN-2,0,outer
ONO-9,ONO,9,-88.90182941,-62.98485202,-63.50000837,KIT_SIR_TAT,KIT-ONO_ONO-SIR_ONO-TAT,KIT-ONO-9_ONO-SIR-9_ONO-TAT-9,KIT-9_SIR-9_TAT-9,1,outer
GUN-2,GUN,2,82.23037459,83.33962298,-50.55793937,FRO_JOY_WHO_TUB,FRO-GUN_GUN-JOY_GUN-WHO_GUN-TUB,FRO-GUN-1_GUN-JOY-1_GUN-WHO-1_GUN-TUB-2,FRO-1_JOY-1_WHO-1_TUB-2,0,inner
ASH-12,ASH,12,-70.85630941,-36.11951702,49.93942863,ART_LAM,ART-ASH_ASH-LAM,ART-ASH-12_ASH-LAM-12,ART-12_LAM-12,0,outer
WOW-10,WOW,9,-56.48277041,-131.871081,-17.25148337,NOR_USE_SAD,NOR-WOW_USE-WOW_SAD-WOW,SAD-WOW-10_NOR-WOW-9_USE-WOW-9,SAD-10_NOR-9_USE-9,0,inner
TAR-11,TAR,8,68.02249859,-76.41374802,-8.592402372,PHI_WAS,PHI-TAR_TAR-WAS,PHI-TAR-11_TAR-WAS-11_PHI-TAR-8,PHI-11_WAS-11_PHI-8,0,inner
NEW-10,NEW,10,-41.25973241,-135.328682,-42.06623437,COP_GET_HIP_USE,COP-NEW_GET-NEW_HIP-NEW_NEW-USE,COP-NEW-10_GET-NEW-10_HIP-NEW-10_NEW-USE-10,COP-10_GET-10_HIP-10_USE-9,1,outer
BAR-9,BAR,9,-105.9669134,-31.27103202,-61.66566937,FLU_DOG,BAR-FLU_BAR-DOG,BAR-FLU-4_BAR-DOG-4_BAR-DOG-9,FLU-4_DOG-4_DOG-9,0,outer
IRE-7,IRE,7,40.26749259,-0.069158017,66.84420363,MAC_EVE_GIG_RIB,IRE-MAC_EVE-IRE_GIG-IRE_IRE-RIB,EVE-IRE-14_GIG-IRE-14_IRE-RIB-14_IRE-MAC-7,EVE-14_GIG-14_RIB-14_MAC-7,0,outer
BOA-5,BOA,5,-4.902155406,113.990935,32.01739663,ADO_WAR_SHY_HOW,ADO-BOA_BOA-WAR_BOA-SHY_BOA-HOW,ADO-BOA-5_BOA-WAR-5_BOA-SHY-5_BOA-HOW-5,ADO-5_WAR-5_SHY-5_HOW-5,0,outer
AMP-10,AMP,8,51.99566359,-118.984127,-45.29832237,SEX_YAY_ROB_CAB,AMP-SEX_AMP-YAY_AMP-ROB_AMP-CAB,AMP-SEX-10_AMP-ROB-10_AMP-CAB-10_AMP-SEX-8_AMP-YAY-8,SEX-10_ROB-10_CAB-10_SEX-8_YAY-8,1,outer
MAD-12,MAD,12,-97.55815141,-29.18252802,13.65649863,BED_LAX_ICE,BED-MAD_LAX-MAD_ICE-MAD,BED-MAD-12_LAX-MAD-12_ICE-MAD-6,BED-12_LAX-12_ICE-6,0,outer
DOG-4,DOG,9,-110.6943414,-17.02691602,-35.28390337,BAR_CHI,BAR-DOG_CHI-DOG,BAR-DOG-4_BAR-DOG-9_CHI-DOG-9,BAR-4_BAR-9_CHI-9,0,outer
KEG-11,KEG,8,83.77172959,-61.85164402,10.55548263,LUG_COW_ODD_WAS,KEG-LUG_COW-KEG_KEG-ODD_KEG-WAS,KEG-LUG-11_COW-KEG-11_KEG-ODD-11_KEG-WAS-11_KEG-LUG-8,LUG-11_COW-11_ODD-11_WAS-11_LUG-8,0,outer
DOG-9,DOG,9,-109.3831304,-20.90173802,-35.81172137,BAR_CHI,BAR-DOG_CHI-DOG,BAR-DOG-4_BAR-DOG-9_CHI-DOG-9,BAR-4_BAR-9_CHI-9,0,outer
WIG-9,WIG,9,-83.42824041,-103.036941,-20.98122137,KEY_NOR,KEY-WIG_NOR-WIG,KEY-WIG-9_NOR-WIG-9,KEY-9_NOR-9,0,outer
LUG-11,LUG,8,87.02662859,-36.21138802,-5.755776372,JAR_KEG_WHY_IVY,JAR-LUG_KEG-LUG_LUG-WHY_IVY-LUG,KEG-LUG-11_JAR-LUG-8_KEG-LUG-8_LUG-WHY-8_IVY-LUG-7,KEG-11_JAR-8_KEG-8_WHY-8_IVY-7,0,inner
ORC-2,ORC,2,101.1758146,38.13227498,-80.54947137,ASK_BOY_CIS_OFF,ASK-ORC_BOY-ORC_CIS-ORC_OFF-ORC,ASK-ORC-2_BOY-ORC-2_CIS-ORC-2_OFF-ORC-2,ASK-2_BOY-2_CIS-2_OFF-2,0,outer
RUM-5,RUM,5,-19.97606541,133.05074,-26.66302937,SIP_REF_PIE,RUM-SIP_REF-RUM_PIE-RUM,RUM-SIP-3_REF-RUM-5_PIE-RUM-1,SIP-3_REF-5_PIE-1,1,inner
WIZ-4,WIZ,4,-94.22729741,61.19367898,16.15277063,GIN_TAX_VOW_ZZZ,GIN-WIZ_TAX-WIZ_VOW-WIZ_WIZ-ZZZ,GIN-WIZ-4_TAX-WIZ-4_VOW-WIZ-6_WIZ-ZZZ-4,GIN-4_TAX-4_VOW-6_ZZZ-6,0,outer
TOY-7,TOY,7,37.08808359,78.05762498,53.34773463,DUB_NIL,DUB-TOY_NIL-TOY,DUB-TOY-5_NIL-TOY-5_NIL-TOY-7,DUB-5_NIL-5_NIL-7,0,outer
NIL-5,NIL,7,22.39774359,57.19140898,50.77433863,TOY_EON_ERA_YES,NIL-TOY_EON-NIL_ERA-NIL_NIL-YES,NIL-TOY-5_NIL-TOY-7_EON-NIL-7_ERA-NIL-7_NIL-YES-7,TOY-5_TOY-7_EON-7_ERA-7_YES-7,0,inner
TOY-5,TOY,7,34.48611959,80.90008598,51.65415463,DUB_NIL,DUB-TOY_NIL-TOY,DUB-TOY-5_NIL-TOY-5_NIL-TOY-7,DUB-5_NIL-5_NIL-7,0,outer
ADO-5,ADO,5,11.85316059,92.98717298,38.38084263,JOB_BOA_ELF,ADO-JOB_ADO-BOA_ADO-ELF,ADO-JOB-5_ADO-BOA-5_ADO-ELF-5,JOB-5_BOA-5_ELF-1,0,inner
TUX-2,TUX,2,107.8582086,-11.23492602,-23.19177837,IVY_GAS,IVY-TUX_GAS-TUX,IVY-TUX-2_GAS-TUX-11,IVY-2_GAS-11,0,outer
LAM-12,LAM,12,-49.51198841,-46.33818502,61.93299363,ASH_LAB_TAU,ASH-LAM_LAB-LAM_LAM-TAU,ASH-LAM-12_LAB-LAM-12_LAM-TAU-12,ASH-12_LAB-12_TAU-6,0,outer
WET-7,WET,7,55.73786259,71.53245898,30.98683663,ELF_EON,ELF-WET_EON-WET,ELF-WET-1_EON-WET-7,ELF-1_EON-7,0,inner
OVA-1,OVA,1,37.55681159,148.781207,-44.57590737,LEG_NIX_RAD,LEG-OVA_NIX-OVA_OVA-RAD,LEG-OVA-1_NIX-OVA-1_OVA-RAD-1,LEG-1_NIX-1_RAD-1,0,outer
NIL-7,NIL,7,25.22632359,54.72796798,52.16379663,TOY_EON_ERA_YES,NIL-TOY_EON-NIL_ERA-NIL_NIL-YES,NIL-TOY-5_NIL-TOY-7_EON-NIL-7_ERA-NIL-7_NIL-YES-7,TOY-5_TOY-7_EON-7_ERA-7_YES-7,0,inner
WET-1,WET,7,54.51494159,76.25100098,26.61509863,ELF_EON,ELF-WET_EON-WET,ELF-WET-1_EON-WET-7,ELF-1_EON-7,0,inner
POP-7,POP,7,80.11344359,20.84592298,39.43647463,ACE_EON_EYE_MAC,ACE-POP_EON-POP_EYE-POP_MAC-POP,ACE-POP-7_EON-POP-7_EYE-POP-7_MAC-POP-7,ACE-7_EON-7_EYE-7_MAC-7,0,outer
LAX-12,LAX,6,-77.21039241,-16.97610502,26.33721463,ACT_HAM_MAD,ACT-LAX_HAM-LAX_LAX-MAD,ACT-LAX-12_LAX-MAD-12_ACT-LAX-6_HAM-LAX-6,ACT-12_MAD-12_ACT-6_HAM-6,0,inner
GEL-10,GEL,10,53.08506359,-136.052756,7.895627628,DAD_EAR_ROB_PHI,DAD-GEL_EAR-GEL_GEL-ROB_GEL-PHI,DAD-GEL-10_EAR-GEL-10_GEL-ROB-10_GEL-PHI-10,DAD-10_EAR-10_ROB-10_PHI-8,0,outer
PAW-4,PAW,4,-113.3547044,18.42387798,-36.97350437,DAY_GYM_ZIG,DAY-PAW_GYM-PAW_PAW-ZIG,DAY-PAW-4_GYM-PAW-4_PAW-ZIG-4,DAY-4_GYM-4_ZIG-4,0,outer
ACE-7,ACE,7,82.95430959,41.79066798,19.02546163,BRO_IVY_POP,ACE-BRO_ACE-IVY_ACE-POP,ACE-BRO-7_ACE-IVY-7_ACE-POP-7,BRO-7_IVY-7_POP-7,0,inner
JUG-6,JUG,6,-5.433488406,37.92189098,71.05300363,JOB_SOY_MOP_AHI,JOB-JUG_JUG-SOY_JUG-MOP_AHI-JUG,JOB-JUG-5_JUG-SOY-6_JUG-MOP-6_AHI-JUG-7,JOB-5_SOY-6_MOP-6_AHI-7,0,outer
PLY-5,PLY,6,-22.25168941,55.30934898,47.80186763,FUN_JOB_NAN,FUN-PLY_JOB-PLY_NAN-PLY,FUN-PLY-5_JOB-PLY-5_NAN-PLY-6,FUN-5_JOB-5_NAN-6,0,inner
OLD-14,OLD,14,-0.811181406,-60.86001002,71.98093063,HOT_LAB_LIE_EVE,HOT-OLD_LAB-OLD_LIE-OLD_EVE-OLD,HOT-OLD-13_LAB-OLD-13_LIE-OLD-13_LIE-OLD-14_EVE-OLD-14,HOT-13_LAB-13_LIE-13_LIE-14_EVE-14,0,outer
GIN-4,GIN,6,-89.79028241,31.51131598,13.93948363,WIZ_SAY_TAX_HAM,GIN-WIZ_GIN-SAY_GIN-TAX_GIN-HAM,GIN-WIZ-4_GIN-SAY-4_GIN-TAX-4_GIN-HAM-6,WIZ-4_SAY-4_TAX-4_HAM-6,0,inner
GIN-6,GIN,6,-90.01991741,31.45906698,17.70368663,WIZ_SAY_TAX_HAM,GIN-WIZ_GIN-SAY_GIN-TAX_GIN-HAM,GIN-WIZ-4_GIN-SAY-4_GIN-TAX-4_GIN-HAM-6,WIZ-4_SAY-4_TAX-4_HAM-6,0,inner
DRY-5,DRY,5,-56.95802341,99.52146798,25.78648963,OIL_VOW_SHY_FLY,DRY-OIL_DRY-VOW_DRY-SHY_DRY-FLY,DRY-OIL-5_DRY-VOW-5_DRY-SHY-5_DRY-FLY-5,OIL-5_VOW-5_SHY-5_FLY-5,0,outer
LID-3,LID,3,-75.29686741,66.12933398,-99.65481637,AIM_EGO_WAX_BOX_HUG,AIM-LID_EGO-LID_LID-WAX_BOX-LID_HUG-LID,AIM-LID-3_EGO-LID-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_WAX-3_BOX-4_HUG-4,1,inner
WOW-9,WOW,9,-59.45124641,-124.594124,-20.00325837,NOR_USE_SAD,NOR-WOW_USE-WOW_SAD-WOW,SAD-WOW-10_NOR-WOW-9_USE-WOW-9,SAD-10_NOR-9_USE-9,0,inner
REF-5,REF,5,-28.63881841,97.75430098,25.92900463,FUN_NAY_RUM,FUN-REF_NAY-REF_REF-RUM,FUN-REF-5_NAY-REF-5_REF-RUM-5,FUN-5_NAY-5_RUM-5,0,inner
PIG-10,PIG,10,6.241364594,-121.224164,32.61002663,ALL_EGG_MOO,ALL-PIG_EGG-PIG_MOO-PIG,ALL-PIG-10_EGG-PIG-10_MOO-PIG-10,ALL-10_EGG-10_MOO-10,0,inner
JAM-11,JAM,13,31.93390459,-102.456159,48.95968163,EAR_ZOO_HOT_MOO,EAR-JAM_JAM-ZOO_HOT-JAM_JAM-MOO,EAR-JAM-11_JAM-ZOO-11_HOT-JAM-13_JAM-MOO-13,EAR-11_ZOO-11_HOT-13_MOO-10,0,outer
SAD-10,SAD,10,-46.30678341,-142.987594,11.08167163,HIP_RUG_WOW,HIP-SAD_RUG-SAD_SAD-WOW,HIP-SAD-10_RUG-SAD-10_SAD-WOW-10,HIP-10_RUG-10_WOW-10,0,outer
SHY-5,SHY,5,-28.92061941,125.976734,7.891281628,BOA_DRY_OIL_INK,BOA-SHY_DRY-SHY_OIL-SHY_INK-SHY,BOA-SHY-5_DRY-SHY-5_OIL-SHY-5_INK-SHY-3,BOA-5_DRY-5_OIL-5_INK-3,0,outer
KEY-9,KEY,9,-69.64055541,-117.391416,7.820439628,NOR_WIG_FIG_GOO,KEY-NOR_KEY-WIG_FIG-KEY_GOO-KEY,KEY-NOR-12_FIG-KEY-12_GOO-KEY-12_KEY-NOR-9_KEY-WIG-9,NOR-12_FIG-12_GOO-12_NOR-9_WIG-9,0,outer
KIT-9,KIT,9,-93.70142841,-68.56138902,-19.98796437,CHI_COY_ONO_ART,CHI-KIT_COY-KIT_KIT-ONO_ART-KIT,CHI-KIT-9_COY-KIT-9_KIT-ONO-9_ART-KIT-12,CHI-9_COY-9_ONO-9_ART-12,0,outer
IVY-2,IVY,7,94.59196259,13.11335398,-16.07717937,FOX_TUX_ACE_LUG,FOX-IVY_IVY-TUX_ACE-IVY_IVY-LUG,FOX-IVY-2_IVY-TUX-2_ACE-IVY-7_IVY-LUG-7,FOX-2_TUX-2_ACE-7_LUG-8,0,inner
BOX-4,BOX,4,-102.3783024,45.64410998,-89.24967437,HUG_VAN_LID,BOX-HUG_BOX-VAN_BOX-LID,BOX-HUG-4_BOX-VAN-4_BOX-LID-4,HUG-4_VAN-4_LID-3,1,outer
MAY-3,MAY,3,-42.89736841,147.070363,-46.28103337,HEX_SIP,HEX-MAY_MAY-SIP,HEX-MAY-3_MAY-SIP-3,HEX-3_SIP-3,0,outer
