Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer
ACE-IVY,7,82.95430959,11.58407098,-12.75042237,93.61091659,41.79066798,19.02546163,ACE_IVY,ACE-IVY-7,"['BRO', 'POP', 'FOX', 'TUX', 'LUG']",ACE-7_IVY-7,"['ACE-BRO-7', 'ACE-POP-7', 'FOX-IVY-2', 'IVY-TUX-2', 'IVY-LUG-7']","['ACE-BRO', 'ACE-POP', 'FOX-IVY', 'IVY-TUX', 'IVY-LUG']","['BRO-7', 'POP-7', 'FOX-2', 'TUX-2', 'LUG-8']",0,inner
LAB-YAK,13_12,-47.02312041,-95.14453702,49.32608163,-37.12603241,-68.52870402,62.35637563,LAB_YAK,LAB-YAK-13_LAB-YAK-12,"['LAM', 'OLD', 'FIG', 'GOO', 'ZAP']",LAB-13_YAK-13_LAB-12_YAK-12,"['LAB-OLD-13', 'LAB-LAM-12', 'GOO-YAK-13', 'YAK-ZAP-13', 'FIG-YAK-12', 'GOO-YAK-12']","['LAB-LAM', 'LAB-OLD', 'FIG-YAK', 'GOO-YAK', 'YAK-ZAP']","['OLD-13', 'LAM-12', 'GOO-13', 'ZAP-13', 'FIG-12', 'GOO-12']",0,outer
GIN-SAY,4,-108.8266474,31.44797198,-6.289134372,-89.79028241,31.51131598,13.93948363,GIN_SAY,GIN-SAY-4,"['WIZ', 'TAX', 'HAM', 'BED', 'ICE']",GIN-4_SAY-4,"['GIN-WIZ-4', 'GIN-TAX-4', 'GIN-HAM-6', 'BED-SAY-4', 'ICE-SAY-4']","['GIN-WIZ', 'GIN-TAX', 'GIN-HAM', 'BED-SAY', 'ICE-SAY']","['WIZ-4', 'TAX-4', 'HAM-6', 'BED-4', 'ICE-4']",0,in_to_out
CAB-OAK,10,18.45301759,-148.691116,-37.65312837,25.94835359,-122.829441,-31.06690737,CAB_OAK,CAB-OAK-10,"['AMP', 'GET', 'YAY', 'FOR', 'ROB']",CAB-10_OAK-10,"['AMP-CAB-10', 'CAB-GET-10', 'CAB-YAY-10', 'FOR-OAK-10', 'GET-OAK-10', 'OAK-ROB-10']","['AMP-CAB', 'CAB-GET', 'CAB-YAY', 'FOR-OAK', 'GET-OAK', 'OAK-ROB']","['AMP-10', 'GET-10', 'YAY-8', 'FOR-10', 'GET-10', 'ROB-10']",1,in_to_out
HIP-SAD,10,-46.30678341,-153.773805,-17.57409037,-32.92354741,-142.987594,11.08167163,HIP_SAD,HIP-SAD-10,"['FOR', 'NEW', 'RUG', 'WOW']",HIP-10_SAD-10,"['FOR-HIP-10', 'HIP-NEW-10', 'RUG-SAD-10', 'SAD-WOW-10']","['FOR-HIP', 'HIP-NEW', 'RUG-SAD', 'SAD-WOW']","['FOR-10', 'NEW-10', 'RUG-10', 'WOW-10']",0,outer
GUT-WAX,3,-61.03240041,113.301845,-94.98505137,-58.81736041,125.501099,-49.45211537,GUT_WAX,GUT-WAX-3,"['HEX', 'MOM', 'AIM', 'LID', 'SIP']",GUT-3_WAX-3,"['GUT-HEX-3', 'GUT-MOM-3', 'AIM-WAX-3', 'HEX-WAX-3', 'LID-WAX-3', 'SIP-WAX-3']","['GUT-HEX', 'GUT-MOM', 'AIM-WAX', 'HEX-WAX', 'LID-WAX', 'SIP-WAX']","['HEX-3', 'MOM-3', 'AIM-3', 'HEX-3', 'LID-3', 'SIP-3']",0,inner
GIN-WIZ,4,-94.22729741,31.51131598,13.93948363,-89.79028241,61.19367898,16.15277063,GIN_WIZ,GIN-WIZ-4,"['SAY', 'TAX', 'HAM', 'VOW', 'ZZZ']",GIN-4_WIZ-4,"['GIN-SAY-4', 'GIN-TAX-4', 'GIN-HAM-6', 'TAX-WIZ-4', 'VOW-WIZ-6', 'WIZ-ZZZ-4']","['GIN-SAY', 'GIN-TAX', 'GIN-HAM', 'TAX-WIZ', 'VOW-WIZ', 'WIZ-ZZZ']","['SAY-4', 'TAX-4', 'HAM-6', 'TAX-4', 'VOW-6', 'ZZZ-6']",0,in_to_out
HOT-OLD,13,1.174937594,-98.76846102,58.92129363,4.710215594,-65.18592102,70.88896363,HOT_OLD,HOT-OLD-13,"['PRO', 'JAM', 'LAB', 'LIE', 'EVE']",HOT-13_OLD-13,"['HOT-PRO-13', 'HOT-JAM-13', 'LAB-OLD-13', 'LIE-OLD-13', 'LIE-OLD-14', 'EVE-OLD-14']","['HOT-PRO', 'HOT-JAM', 'LAB-OLD', 'LIE-OLD', 'EVE-OLD']","['PRO-13', 'JAM-13', 'LAB-13', 'LIE-13', 'LIE-14', 'EVE-14']",0,outer
MIX-MOM,3,-84.88109141,89.53200898,-64.08417237,-82.31358541,116.370628,-59.92703137,MIX_MOM,MIX-MOM-3,"['ALA', 'GUT']",MIX-3_MOM-3,"['ALA-MIX-3', 'GUT-MOM-3']","['ALA-MIX', 'GUT-MOM']","['ALA-3', 'GUT-3']",0,in_to_out
INK-OIL,3,-57.16906441,104.268151,-22.66342337,-53.10752641,133.549724,-4.853784372,INK_OIL,INK-OIL-3,"['ALA', 'SHY', 'DRY']",INK-3_OIL-3,"['ALA-INK-3', 'INK-SHY-3', 'DRY-OIL-5', 'OIL-SHY-5']","['ALA-INK', 'INK-SHY', 'DRY-OIL', 'OIL-SHY']","['ALA-3', 'SHY-5', 'DRY-5', 'SHY-5']",0,in_to_out
OFF-WHO,2,56.10229159,60.63561298,-84.02869737,79.07137459,110.670883,-81.79092937,OFF_WHO,OFF-WHO-2,"['CIS', 'ORC', 'FRO', 'GUN', 'NIX']",OFF-2_WHO-1,"['CIS-OFF-2', 'OFF-ORC-2', 'FRO-OFF-1', 'FRO-WHO-1', 'GUN-WHO-1', 'NIX-WHO-1']","['CIS-OFF', 'OFF-ORC', 'FRO-OFF', 'FRO-WHO', 'GUN-WHO', 'NIX-WHO']","['CIS-2', 'ORC-2', 'FRO-1', 'FRO-1', 'GUN-1', 'NIX-1']",1,inner
SAW-YAY,8,52.54010159,-85.93446502,-52.84782737,77.17590359,-78.35575402,-36.31063437,SAW_YAY,SAW-YAY-8,"['SEX', 'AMP', 'BAM', 'HAY', 'CAB']",SAW-8_YAY-8,"['SAW-SEX-8', 'AMP-YAY-8', 'BAM-YAY-8', 'HAY-YAY-8', 'CAB-YAY-10']","['SAW-SEX', 'AMP-YAY', 'BAM-YAY', 'HAY-YAY', 'CAB-YAY']","['SEX-8', 'AMP-8', 'BAM-8', 'HAY-8', 'CAB-10']",0,in_to_out
GUN-WHO,1,56.10229159,86.71068098,-84.02869737,80.21752159,110.670883,-50.51652737,GUN_WHO,GUN-WHO-1,"['FRO', 'JOY', 'TUB', 'NIX', 'OFF']",GUN-1_WHO-1,"['FRO-GUN-1', 'GUN-JOY-1', 'GUN-TUB-2', 'FRO-WHO-1', 'NIX-WHO-1', 'OFF-WHO-2']","['FRO-GUN', 'GUN-JOY', 'GUN-TUB', 'FRO-WHO', 'NIX-WHO', 'OFF-WHO']","['FRO-1', 'JOY-1', 'TUB-2', 'FRO-1', 'NIX-1', 'OFF-2']",0,inner
GOO-YAK,13_12,-47.02312041,-112.918897,26.92962063,-41.85655141,-91.34388602,49.47698363,GOO_YAK,GOO-YAK-13_GOO-YAK-12,"['BUG', 'KEY', 'PRO', 'FIG', 'LAB', 'ZAP']",GOO-13_YAK-13_GOO-12_YAK-12,"['GOO-PRO-13', 'BUG-GOO-12', 'GOO-KEY-12', 'LAB-YAK-13', 'YAK-ZAP-13', 'FIG-YAK-12', 'LAB-YAK-12']","['BUG-GOO', 'GOO-KEY', 'GOO-PRO', 'FIG-YAK', 'LAB-YAK', 'YAK-ZAP']","['PRO-13', 'BUG-12', 'KEY-12', 'LAB-13', 'ZAP-13', 'FIG-12', 'LAB-12']",0,in_to_out
CIS-ORC,2,85.32510359,11.66894898,-82.83059537,101.1758146,38.13227498,-80.54947137,CIS_ORC,CIS-ORC-2,"['BAH', 'ETA', 'OFF', 'BAM', 'ASK', 'BOY']",CIS-2_ORC-2,"['BAH-CIS-2', 'CIS-ETA-2', 'CIS-OFF-2', 'BAM-CIS-8', 'ASK-ORC-2', 'BOY-ORC-2', 'OFF-ORC-2']","['BAH-CIS', 'CIS-ETA', 'CIS-OFF', 'BAM-CIS', 'ASK-ORC', 'BOY-ORC', 'OFF-ORC']","['BAH-2', 'ETA-2', 'OFF-2', 'BAM-8', 'ASK-2', 'BOY-2', 'OFF-2']",0,in_to_out
KEG-ODD,11,83.77172959,-61.85164402,10.55548263,85.97783059,-36.78945902,22.52835163,KEG_ODD,KEG-ODD-11,"['LUG', 'COW', 'WAS', 'AIR', 'GAS']",KEG-11_ODD-11,"['KEG-LUG-11', 'COW-KEG-11', 'KEG-WAS-11', 'KEG-LUG-8', 'AIR-ODD-11', 'GAS-ODD-11']","['KEG-LUG', 'COW-KEG', 'KEG-WAS', 'AIR-ODD', 'GAS-ODD']","['LUG-11', 'COW-11', 'WAS-11', 'LUG-8', 'AIR-11', 'GAS-11']",0,outer
FIG-YAK,12,-68.95094441,-94.26845802,33.62420063,-47.02312041,-91.34388602,49.32608163,FIG_YAK,FIG-YAK-12,"['ART', 'BUG', 'KEY', 'GOO', 'LAB', 'ZAP']",FIG-12_YAK-12,"['ART-FIG-12', 'BUG-FIG-12', 'FIG-KEY-12', 'GOO-YAK-13', 'LAB-YAK-13', 'YAK-ZAP-13', 'GOO-YAK-12', 'LAB-YAK-12']","['ART-FIG', 'BUG-FIG', 'FIG-KEY', 'GOO-YAK', 'LAB-YAK', 'YAK-ZAP']","['ART-12', 'BUG-12', 'KEY-12', 'GOO-13', 'LAB-13', 'ZAP-13', 'GOO-12', 'LAB-12']",0,outer
COP-NEW,10,-41.25973241,-135.328682,-42.28678237,-39.98823741,-109.145583,-42.06623437,COP_NEW,COP-NEW-10,"['USE', 'TAT', 'GET', 'HIP']",COP-10_NEW-10,"['COP-GET-10', 'COP-USE-9', 'COP-TAT-9', 'GET-NEW-10', 'HIP-NEW-10', 'NEW-USE-10']","['COP-USE', 'COP-TAT', 'COP-GET', 'GET-NEW', 'HIP-NEW', 'NEW-USE']","['GET-10', 'USE-9', 'TAT-9', 'GET-10', 'HIP-10', 'USE-9']",1,in_to_out
DUB-ELF,1,42.59283659,102.496384,-1.147938372,43.10971859,109.975758,29.54441263,DUB_ELF,DUB-ELF-1,"['ARM', 'WAR', 'TOY', 'WET', 'RAD', 'ADO']",DUB-1_ELF-1,"['ARM-DUB-1', 'DUB-WAR-1', 'DUB-WAR-5', 'DUB-TOY-5', 'ELF-WET-1', 'ELF-RAD-1', 'ADO-ELF-5']","['ARM-DUB', 'DUB-WAR', 'DUB-TOY', 'ELF-WET', 'ELF-RAD', 'ADO-ELF']","['ARM-1', 'WAR-1', 'WAR-5', 'TOY-5', 'WET-1', 'RAD-1', 'ADO-5']",0,in_to_out
HEX-SIP,3,-57.82588741,138.550331,-73.40293337,-28.66803741,143.011165,-69.18081237,HEX_SIP,HEX-SIP-3,"['GUT', 'MAY', 'WAX', 'RUM']",HEX-3_SIP-3,"['GUT-HEX-3', 'HEX-MAY-3', 'HEX-WAX-3', 'MAY-SIP-3', 'RUM-SIP-3', 'SIP-WAX-3']","['GUT-HEX', 'HEX-MAY', 'HEX-WAX', 'MAY-SIP', 'RUM-SIP', 'SIP-WAX']","['GUT-3', 'MAY-3', 'WAX-3', 'MAY-3', 'RUM-3', 'WAX-3']",0,in_to_out
BOY-ORC,2,101.1758146,11.93373498,-80.54947137,108.4197686,38.13227498,-68.75523137,BOY_ORC,BOY-ORC-2,"['BAH', 'FOX', 'ASK', 'CIS', 'OFF']",BOY-2_ORC-2,"['BAH-BOY-2', 'BOY-FOX-2', 'ASK-ORC-2', 'CIS-ORC-2', 'OFF-ORC-2']","['BAH-BOY', 'BOY-FOX', 'ASK-ORC', 'CIS-ORC', 'OFF-ORC']","['BAH-2', 'FOX-2', 'ASK-2', 'CIS-2', 'OFF-2']",0,outer
IVY-TUX,2,94.59196259,-11.23492602,-23.19177837,107.8582086,13.11335398,-16.07717937,IVY_TUX,IVY-TUX-2,"['FOX', 'ACE', 'LUG', 'GAS']",IVY-2_TUX-2,"['FOX-IVY-2', 'ACE-IVY-7', 'IVY-LUG-7', 'GAS-TUX-11']","['FOX-IVY', 'ACE-IVY', 'IVY-LUG', 'GAS-TUX']","['FOX-2', 'ACE-7', 'LUG-8', 'GAS-11']",0,in_to_out
CHI-KIT,9,-102.5418844,-68.56138902,-19.98796437,-93.70142841,-38.04451102,-16.48294537,CHI_KIT,CHI-KIT-9,"['AGE', 'BED', 'DOG', 'COY', 'ONO', 'ART']",CHI-9_KIT-9,"['AGE-CHI-9', 'BED-CHI-9', 'CHI-DOG-9', 'COY-KIT-9', 'KIT-ONO-9', 'ART-KIT-12']","['AGE-CHI', 'BED-CHI', 'CHI-DOG', 'COY-KIT', 'KIT-ONO', 'ART-KIT']","['AGE-9', 'BED-9', 'DOG-9', 'COY-9', 'ONO-9', 'ART-12']",0,outer
ASK-FRO,2,83.11559959,65.11660398,-76.93202537,100.5588706,92.49394598,-67.54861437,ASK_FRO,ASK-FRO-2,"['ORC', 'TUB', 'TAG', 'WHO', 'GUN', 'OFF']",ASK-2_FRO-1,"['ASK-ORC-2', 'ASK-TUB-2', 'ASK-TAG-2', 'FRO-WHO-1', 'FRO-GUN-1', 'FRO-OFF-1']","['ASK-ORC', 'ASK-TUB', 'ASK-TAG', 'FRO-WHO', 'FRO-GUN', 'FRO-OFF']","['ORC-2', 'TUB-2', 'TAG-2', 'WHO-1', 'GUN-1', 'OFF-2']",0,outer
JUG-SOY,6,-25.26962541,6.414220983,63.01992663,-5.433488406,37.92189098,71.05300363,JUG_SOY,JUG-SOY-6,"['JOB', 'MOP', 'AHI', 'DUH']",JUG-6_SOY-6,"['JOB-JUG-5', 'JUG-MOP-6', 'AHI-JUG-7', 'DUH-SOY-6', 'MOP-SOY-6']","['JOB-JUG', 'JUG-MOP', 'AHI-JUG', 'DUH-SOY', 'MOP-SOY']","['JOB-5', 'MOP-6', 'AHI-7', 'DUH-6', 'MOP-6']",0,in_to_out
ACE-BRO,7,82.03459059,41.79066798,19.02546163,82.95430959,72.08309498,23.31367063,ACE_BRO,ACE-BRO-7,"['IVY', 'POP', 'EON', 'HIT', 'ARM']",ACE-7_BRO-7,"['ACE-IVY-7', 'ACE-POP-7', 'BRO-EON-7', 'BRO-HIT-7', 'ARM-BRO-1']","['ACE-IVY', 'ACE-POP', 'BRO-EON', 'BRO-HIT', 'ARM-BRO']","['IVY-7', 'POP-7', 'EON-7', 'HIT-7', 'ARM-1']",0,in_to_out
FIX-GAS,11,74.09911959,-13.78822502,8.027349628,98.01878059,-9.163696017,23.39753763,FIX_GAS,FIX-GAS-11,"['MAC', 'AIR', 'ODD', 'EYE', 'TUX']",FIX-11_GAS-11,"['FIX-MAC-11', 'AIR-FIX-11', 'FIX-MAC-7', 'GAS-ODD-11', 'EYE-GAS-7', 'GAS-TUX-11']","['FIX-MAC', 'AIR-FIX', 'GAS-ODD', 'EYE-GAS', 'GAS-TUX']","['MAC-11', 'AIR-11', 'MAC-7', 'ODD-11', 'EYE-7', 'TUX-8']",0,in_to_out
FOX-TAG,2,101.8871626,14.11545098,-54.28216537,113.4612856,36.89463698,-39.83334437,FOX_TAG,FOX-TAG-2,"['BOY', 'SKY', 'IVY', 'ASK']",FOX-2_TAG-2,"['BOY-FOX-2', 'FOX-SKY-2', 'FOX-IVY-2', 'ASK-TAG-2', 'SKY-TAG-2']","['BOY-FOX', 'FOX-SKY', 'FOX-IVY', 'ASK-TAG', 'SKY-TAG']","['BOY-2', 'SKY-2', 'IVY-2', 'ASK-2', 'SKY-2']",0,in_to_out
CIS-ETA,2,85.32510359,-10.49737002,-82.83059537,97.82119359,11.66894898,-50.66639537,CIS_ETA,CIS-ETA-2,"['BAH', 'ORC', 'OFF', 'BAM', 'PAY']",CIS-2_ETA-2,"['BAH-CIS-2', 'CIS-ORC-2', 'CIS-OFF-2', 'BAM-CIS-8', 'BAH-ETA-2', 'BAH-ETA-8', 'BAM-ETA-8', 'ETA-PAY-8']","['BAH-CIS', 'CIS-ORC', 'CIS-OFF', 'BAM-CIS', 'BAH-ETA', 'BAM-ETA', 'ETA-PAY']","['BAH-2', 'ORC-2', 'OFF-2', 'BAM-8', 'BAH-2', 'BAH-8', 'BAM-8', 'PAY-8']",0,inner
KEG-WAS,11,71.74941359,-81.86690602,10.55548263,83.77172959,-61.85164402,19.97496263,KEG_WAS,KEG-WAS-11,"['LUG', 'COW', 'ODD', 'PHI', 'TAR', 'ZOO']",KEG-11_WAS-11,"['KEG-LUG-11', 'COW-KEG-11', 'KEG-ODD-11', 'KEG-LUG-8', 'PHI-WAS-11', 'TAR-WAS-11', 'WAS-ZOO-11']","['KEG-LUG', 'COW-KEG', 'KEG-ODD', 'PHI-WAS', 'TAR-WAS', 'WAS-ZOO']","['LUG-11', 'COW-11', 'ODD-11', 'LUG-8', 'PHI-11', 'TAR-11', 'ZOO-11']",0,outer
AMP-SEX,10_8,51.99566359,-123.218531,-46.81392637,61.78807259,-110.233246,-17.84211037,AMP_SEX,AMP-SEX-10_AMP-SEX-8,"['YAY', 'ROB', 'CAB', 'SAW']",AMP-10_SEX-10_AMP-8_SEX-8,"['AMP-ROB-10', 'AMP-CAB-10', 'AMP-YAY-8', 'ROB-SEX-10', 'SAW-SEX-8']","['AMP-YAY', 'AMP-ROB', 'AMP-CAB', 'SAW-SEX', 'ROB-SEX']","['ROB-10', 'CAB-10', 'YAY-8', 'ROB-10', 'SAW-8']",0,in_to_out
HUG-VAN,4,-112.5420554,17.77017398,-89.94626137,-93.46122141,21.71477298,-72.36783537,HUG_VAN,HUG-VAN-4,"['BOX', 'FLU', 'SIR', 'LID', 'GYM']",HUG-4_VAN-4,"['BOX-HUG-4', 'FLU-HUG-4', 'HUG-SIR-4', 'HUG-LID-4', 'BOX-VAN-4', 'GYM-VAN-4']","['BOX-HUG', 'FLU-HUG', 'HUG-SIR', 'HUG-LID', 'BOX-VAN', 'GYM-VAN']","['BOX-4', 'FLU-4', 'SIR-9', 'LID-3', 'BOX-4', 'GYM-4']",0,in_to_out
FRO-OFF,1,79.07137459,60.63561298,-81.79092937,83.11559959,92.49394598,-76.93202537,FRO_OFF,FRO-OFF-1,"['WHO', 'GUN', 'ASK', 'CIS', 'ORC']",FRO-1_OFF-2,"['FRO-WHO-1', 'FRO-GUN-1', 'ASK-FRO-2', 'CIS-OFF-2', 'OFF-ORC-2', 'OFF-WHO-2']","['FRO-WHO', 'FRO-GUN', 'ASK-FRO', 'CIS-OFF', 'OFF-ORC', 'OFF-WHO']","['WHO-1', 'GUN-1', 'ASK-2', 'CIS-2', 'ORC-2', 'WHO-1']",0,in_to_out
HAM-NAN,6,-78.12024741,6.428795983,41.61903863,-56.65210441,24.70875698,43.02018763,HAM_NAN,HAM-NAN-6,"['GIN', 'LAX', 'ZZZ', 'PLY']",HAM-6_NAN-6,"['GIN-HAM-6', 'HAM-LAX-6', 'HAM-ZZZ-6', 'NAN-PLY-6', 'NAN-ZZZ-6']","['GIN-HAM', 'HAM-LAX', 'HAM-ZZZ', 'NAN-PLY', 'NAN-ZZZ']","['GIN-6', 'LAX-6', 'ZZZ-6', 'PLY-6', 'ZZZ-6']",0,in_to_out
GEL-PHI,10,53.08506359,-136.052756,1.910047628,73.86403559,-101.253142,7.895627628,GEL_PHI,GEL-PHI-10,"['DAD', 'EAR', 'ROB', 'TAR', 'WAS']",GEL-10_PHI-8,"['DAD-GEL-10', 'EAR-GEL-10', 'GEL-ROB-10', 'PHI-TAR-11', 'EAR-PHI-11', 'PHI-WAS-11', 'PHI-TAR-8']","['DAD-GEL', 'EAR-GEL', 'GEL-ROB', 'PHI-TAR', 'EAR-PHI', 'PHI-WAS']","['DAD-10', 'EAR-10', 'ROB-10', 'TAR-11', 'EAR-11', 'WAS-11', 'TAR-8']",0,outer
GUT-HEX,3,-58.81736041,125.501099,-73.40293337,-57.82588741,138.550331,-49.45211537,GUT_HEX,GUT-HEX-3,"['WAX', 'MOM', 'SIP', 'MAY']",GUT-3_HEX-3,"['GUT-WAX-3', 'GUT-MOM-3', 'HEX-SIP-3', 'HEX-MAY-3', 'HEX-WAX-3']","['GUT-WAX', 'GUT-MOM', 'HEX-SIP', 'HEX-MAY', 'HEX-WAX']","['WAX-3', 'MOM-3', 'SIP-3', 'MAY-3', 'WAX-3']",0,in_to_out
ALA-INK,3,-74.19261141,120.025893,-24.32966137,-53.10752641,133.549724,-22.66342337,ALA_INK,ALA-INK-3,"['AGO', 'FLY', 'MIX', 'OIL', 'SHY']",ALA-3_INK-3,"['AGO-ALA-3', 'ALA-FLY-3', 'ALA-MIX-3', 'INK-OIL-3', 'INK-SHY-3']","['AGO-ALA', 'ALA-FLY', 'ALA-MIX', 'INK-OIL', 'INK-SHY']","['AGO-3', 'FLY-3', 'MIX-3', 'OIL-3', 'SHY-5']",0,outer
LEG-RAW,1,53.69602259,115.720687,-68.68453837,76.51529459,137.684574,-61.04676337,LEG_RAW,LEG-RAW-1,"['OVA', 'SPY', 'NIX']",LEG-1_RAW-1,"['LEG-OVA-1', 'LEG-SPY-1', 'LEG-NIX-1']","['LEG-OVA', 'LEG-SPY', 'LEG-NIX']","['OVA-1', 'SPY-1', 'NIX-1']",0,outer
JAM-MOO,13,30.08529959,-135.876097,28.76128663,31.52915659,-105.085851,49.11054163,JAM_MOO,JAM-MOO-13,"['EAR', 'ZOO', 'HOT', 'EGG', 'PIG']",JAM-13_MOO-10,"['EAR-JAM-11', 'JAM-ZOO-11', 'HOT-JAM-13', 'EGG-MOO-10', 'MOO-PIG-10']","['EAR-JAM', 'JAM-ZOO', 'HOT-JAM', 'EGG-MOO', 'MOO-PIG']","['EAR-11', 'ZOO-11', 'HOT-13', 'EGG-10', 'PIG-10']",0,outer
